"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","MPN","S1PN","MFN"
"C12,C13","2","22p","","","","","CL10C220JB8NNNC ","https://www.mouser.ee/ProductDetail/Samsung-Electro-Mechanics/CL10C220JB8NNNC?qs=349EhDEZ59oibjgB6q8fqA%3D%3D","Samsung Electro-Mechanics "
"C9","1","10nF","","","","","CL10B103KB8NNNL ","https://www.mouser.ee/ProductDetail/Samsung-Electro-Mechanics/CL10B103KB8NNNL?qs=349EhDEZ59rIWQLlrGQ20g%3D%3D","Samsung Electro-Mechanics "
"C4,C5,C6,C7,C11,C19","6","100nF","","","","","CL10B104KC8NNNC ","https://www.mouser.ee/ProductDetail/Samsung-Electro-Mechanics/CL10B104KC8NNNC?qs=%2FukktrhNKsY5bKXvqblW4Q%3D%3D","Samsung Electro-Mechanics "
"C10,C21,C22,C23,C24","5","1uF","","","",""," CL21B105KBFNNNE ","https://www.mouser.ee/ProductDetail/Samsung-Electro-Mechanics/CL21B105KBFNNNE?qs=yOVawPpwOwmddQEBPU6Y9A%3D%3D","Samsung Electro-Mechanics "
"C3","1","2.2uF","","","","","CL31B225KBHNNNE ","https://www.mouser.ee/ProductDetail/Samsung-Electro-Mechanics/CL31B225KBHNNNE?qs=349EhDEZ59oNolj3jR402w%3D%3D","Samsung Electro-Mechanics "
"C8,C20","2","4.7uF","","","","","CL31B475KBHNFNE ","https://www.mouser.ee/ProductDetail/Samsung-Electro-Mechanics/CL31B475KBHNFNE?qs=X6jEic%2FHinDSpHHigcaxmQ%3D%3D","Samsung Electro-Mechanics "
"L1","1","8.2uH","","","","","IHLP2525BDER8R2M01 ","https://www.mouser.ee/ProductDetail/Vishay-Dale/IHLP2525BDER8R2M01?qs=oGfY1tKavxxEMJeVghjQFQ%3D%3D","Vishay / Dale "
"C1,C2,C18","3","10uF","","","","","CL31B106KBHNNNE ","https://www.mouser.ee/ProductDetail/Samsung-Electro-Mechanics/CL31B475KBHNFNE?qs=X6jEic%2FHinDSpHHigcaxmQ%3D%3D","Samsung Electro-Mechanics "
"C14,C15,C16,C17","4","680uF","","","","","UHW1V681MPD ","https://www.mouser.ee/ProductDetail/Nichicon/UHW1V681MPD?qs=sGAEpiMZZMvwFf0viD3Y3dL55az7zhnmUur%252BfGEEbuUMBt2Eh5DR6Q%3D%3D"," Nichicon ,Nichicon "
"F1","1","5A","","","","","RKEF500 ","https://www.mouser.ee/ProductDetail/Littelfuse/RKEF500?qs=sGAEpiMZZMt8Ji9PfVTQzKP20%2FAVFsZZKyd6%252BDa45xs%3D","Littelfuse"
"Y1","1","8 MHz","","","","","ECS-80-12-33Q-GN-TR","https://www.mouser.ee/ProductDetail/ECS/ECS-80-12-33Q-GN-TR?qs=GedFDFLaBXGpGt2XdH6nFA%3D%3D","ECS"
"R3","1","22R","","","",""," RMC1/16K22R0FTP ","https://www.mouser.ee/ProductDetail/Kamaya/RMC1-16K22R0FTP?qs=sGAEpiMZZMtlubZbdhIBINZyO39%252BOXIfXmvmgM3dp0M%3D","Kamaya "
"R4","1","22R","","","","","RMC1/16K22R0FTP","https://www.mouser.ee/ProductDetail/Kamaya/RMC1-16K22R0FTP?qs=sGAEpiMZZMtlubZbdhIBINZyO39%252BOXIfXmvmgM3dp0M%3D","Kamaya "
"R15","1","100","","","",""," RT0603FRE10100RL ","https://www.mouser.ee/ProductDetail/YAGEO/RT0603FRE10100RL?qs=sGAEpiMZZMtlubZbdhIBIAA5Rg%252BBqQHDPWZddZiXKJw%3D","YAGEO"
